imageId,texts
1122,湯姆貓 傻眼
1123,湯姆貓 傻眼
1124,湯姆貓 傻眼
1127,亞洲人 之 恥
1128,大家 一起 安慰 一 個 人
1130,高速 公路 急轉彎
1131,跑
1132,奈良鹿 鄙視 你
1138,你 女友 非常 火
1158,李奧納多
1161,超衰 布萊恩
1163,比 讚
1170,模板
1171,皮卡丘
1175,失望 的 天使
1176,模板
1178,模板
1179,瞪
1180,神 煩 狗
1181,海綿 寶寶
1182,模板
1193,鹿鹿
1228,山姆 大叔
1239,模板
1240,握手 洗手
1241,模板
1242,模板
1243,海綿 寶寶
1244,Drake
1254,American
1255,山姆 大叔
1256,李奧納多
1297,佛系 OO
1299,老奶奶 看 螢幕
1320,非洲 小孩
1322,knock
1324,李奧納多
1325,模板
1329,看看 都 幾點 啦 ?
1365,忘記 關直 播 的 筆電
1368,大家 一起 安慰 一 個 人
1369,john
1370,失望 的 天使
1395,海綿 寶寶 很 開心
1436,海鷗
1460,企鵝
1465,哭哭 貓
1466,大家 一起 安慰 一 個 人
1496,企鵝
1497,無言 小 貓
1498,納粹 進入 巴黎
1530,Drake
1537,Drake
1545,兩 顆 按鈕
1546,兩 顆 按鈕
1565,館長 吃 香蕉
1589,模板
1592,邪惡派 大 星
1593,睡覺 的 黑人
1595,丟
1597,蜘蛛人
1615,海綿 寶寶
1628,蜘蛛人
1633,草包愚 001
1638,山姆 大叔
1649,模板
1666,上帝 創造 OOO 的 過程
1689,萊納
1693,上帝 創造 OOO 的 過程
1710,香港 警察 和 學運 人士
1724,老奶奶 看 螢幕
1758,海綿 寶寶
1761,哭哭 貓
1769,元首
1770,哭哭 貓
1774,亞洲人 之 恥
1785,軍隊
1792,巴斯 光年
1796,模板
1799,噁心派 大 星
1801,喵咪 ～o_OO_o
1802,喵咪 ～o_OO_o
1811,康納
1812,腦圖
1822,驚訝 小 貓
1825,無言 小 貓
1834,比利
1837,貓咪
1838,貓咪
1839,貓咪
1842,模板
1844,American
1845,男人
1846,模板
1847,貓咪
1849,大笑
1850,跑
1851,亞洲人 之 恥
1852,Drake
1853,巴斯 光年
1863,韓國 瑜
1867,模板
1871,微妙 的 表情
1872,微妙 的 表情
1873,微妙 的 表情
1874,微妙 的 表情
1875,微妙 的 表情
1876,微妙 的 表情
1877,微妙 的 表情
1878,微妙 的 表情
1891,微妙 的 表情
1892,微妙 的 表情
1899,微妙 的 表情
1912,阿席莉帕 3
1913,模板
1914,韓國 瑜
1915,模板
1916,亞洲人 之 恥
1917,巴斯 光年
1918,銀魂 嚇到
1919,決定 了 ！ 今天 要 偷走 你 的 心
1920,無言 小 貓
1921,小 貓 比 中指
1922,開心狗
1924,腦圖
1926,電腦 前 深思
1927,電腦 前 深思
1968,韓國 瑜
2015,海綿 寶寶 燒 紙
2028,啊 啊
2029,男人
2030,爛 機車 發不 動
2079,knock
2088,章魚哥
2092,passenger
2099,Jerry
2110,模板
2128,柯文哲
2140,YAAAAAAAAAAAA
2147,王世堅
2149,王世堅
2159,鸚鵡 兄弟
2170,韓國 瑜
2193,馬頭人
2211,鸚鵡 兄弟
2222,海鷗
2283,柯文哲
2286,模板
2296,模板
2332,湯姆貓
2334,高速 公路 急轉彎
2337,海綿 寶寶
2338,海綿 寶寶
2341,熊貓人
2366,漏電 阿
2391,海鷗
2396,YAAAAAAAAAAAA
2435,我 到底 看 了 三 小
2436,我 到底 看 了 三 小
2504,你 女友 非常 火
2510,passenger
2511,李奧納多
2512,腦圖
2528,海綿 寶寶 燒 紙
2583,鸚鵡 兄弟
2632,鸚鵡 兄弟
2640,乃 愛
2641,大家 一起 安慰 一 個 人
2644,奈良鹿 鄙視 你
2704,模板
2717,鸚鵡 兄弟
2735,模板
2753,男人
2754,男人
2755,男人
2758,模板
2761,笑豹
2763,大笑
2788,青蛙 推薦 你 上吊 自殺
2856,湯姆貓 傻眼
2864,驚訝 小 貓
2867,驚訝 小 貓
2882,海鷗
3035,鸚鵡 兄弟
3094,海綿 寶寶 很 開心
3095,鸚鵡 兄弟
3102,鸚鵡 兄弟
3103,鸚鵡 兄弟
3107,鸚鵡 兄弟
3112,鸚鵡 兄弟
3121,鸚鵡 兄弟
3125,腦圖
3137,鸚鵡 兄弟
3143,鸚鵡 兄弟
3144,鸚鵡 兄弟
3183,鸚鵡 兄弟
3286,模板
3287,模板
3297,鸚鵡 兄弟
3298,鸚鵡 兄弟
3299,鸚鵡 兄弟
3300,鸚鵡 兄弟
3301,鸚鵡 兄弟
3302,鸚鵡 兄弟
3372,提拉米 1
3482,鸚鵡 兄弟
3486,鸚鵡 兄弟
3560,嗨嗨
3564,湯姆貓 傻眼
3566,海綿 寶寶 很 開心
3592,鸚鵡 兄弟
3593,鸚鵡 兄弟
3595,鸚鵡 兄弟
3597,鸚鵡 兄弟
3599,鸚鵡 兄弟
3602,鸚鵡 兄弟
3606,鸚鵡 兄弟
3609,鸚鵡 兄弟
3610,鸚鵡 兄弟
3616,鸚鵡 兄弟
3617,鸚鵡 兄弟
3619,鸚鵡 兄弟
3620,鸚鵡 兄弟
3648,無言 小 貓
3661,Drake
3663,無言 小 貓
3664,海鷗
3667,鸚鵡 兄弟
3689,Drake
3792,模板
3793,模板
3805,嚴肅
3871,海綿 寶寶 燒 紙
3878,康納
3890,鸚鵡 兄弟
3915,煩人 的 鳥
3960,汪
4003,傑出 的 一手
4023,鸚鵡 兄弟
4068,Drake
4080,沈思
4091,鋼鐵人
4119,鸚鵡 兄弟
4121,鸚鵡 兄弟
4123,鸚鵡 兄弟
4180,鸚鵡 兄弟
4182,鸚鵡 兄弟
4183,海綿 寶寶
4185,海綿 寶寶
4187,鸚鵡 兄弟
4194,海綿 寶寶
4199,模板
4244,模板
4260,鸚鵡 兄弟
4273,鸚鵡 兄弟
4278,ㄩㄇ
4292,嚴肅
4295,睡覺 的 黑人
4307,鸚鵡 兄弟
4499,非洲 小孩
4503,小孩 問 大人 問題
4507,打針
4508,嘗試 不尻尻
4511,黑手黨 維尼
4514,傑出 的 一手
4554,鸚鵡 兄弟
4557,小 貓 比 中指
4579,鸚鵡 兄弟
4581,傑出 的 一手
4582,鸚鵡 兄弟
4583,鸚鵡 兄弟
4585,鸚鵡 兄弟
4593,鸚鵡 兄弟
4611,鸚鵡 兄弟
4613,鸚鵡 兄弟
4617,高速 公路 急轉彎
4618,高速 公路 急轉彎
4619,鸚鵡 兄弟
4655,鸚鵡 兄弟
4660,鸚鵡 兄弟
4782,別 跟 我 說 什麼 OOO
4783,鸚鵡 兄弟
4786,鸚鵡 兄弟
4791,鸚鵡 兄弟
4801,鸚鵡 兄弟
4857,鸚鵡 兄弟
4862,鸚鵡 兄弟
4893,deja
4895,JOJO 梗 02
4935,鸚鵡
4937,躺下 、 嘗試 不 哭
4942,非洲 小孩
4947,鬼店 、 斧頭 破 門
4953,Jerry
4994,汪
5025,海鷗
5037,鸚鵡 兄弟
5039,鸚鵡 兄弟
5040,鸚鵡 兄弟
5041,鸚鵡 兄弟
5052,鸚鵡 兄弟
5113,玩笑
5143,躺下 、 嘗試 不 哭
5144,腦圖
5176,鸚鵡 兄弟
5182,deja
